request_datetime,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,trip_miles,trip_time,base_passenger_fare,tips,driver_pay
2022-01-01 00:05:31,2022-01-01 00:07:24,2022-01-01 00:18:28,170,161,1.18,664,24.9,0.0,23.03
2022-01-01 00:19:27,2022-01-01 00:22:32,2022-01-01 00:30:12,237,161,0.82,460,11.97,0.0,12.32
2022-01-01 00:43:53,2022-01-01 00:57:37,2022-01-01 01:07:32,237,161,1.18,595,29.82,0.0,23.3
2022-01-01 00:15:36,2022-01-01 00:18:02,2022-01-01 00:23:05,262,229,1.65,303,7.91,0.0,6.3
2022-01-01 00:25:45,2022-01-01 00:28:01,2022-01-01 00:35:42,229,141,1.65,461,9.44,0.0,7.44
2022-01-01 00:34:44,2022-01-01 00:38:50,2022-01-01 00:51:32,263,79,4.51,762,17.67,0.0,12.25
2022-01-01 00:47:51,2022-01-01 00:53:25,2022-01-01 01:08:56,113,140,3.68,931,16.68,0.0,12.75
2022-01-01 00:06:21,2022-01-01 00:08:58,2022-01-01 00:23:01,151,75,2.77,843,14.41,4.0,11.47
2022-01-01 00:27:54,2022-01-01 00:32:25,2022-01-01 00:44:15,263,229,2.04,710,10.64,0.0,9.55
2022-01-01 00:44:59,2022-01-01 00:50:23,2022-01-01 01:15:30,237,169,8.79,1507,107.56,0.0,23.67
2022-01-01 00:13:49,2022-01-01 00:17:02,2022-01-01 00:40:09,261,223,11.29,1387,34.9,0.0,25.17
2022-01-01 00:39:10,2022-01-01 00:43:20,2022-01-01 00:47:31,223,223,0.87,251,7.91,0.0,6.51
2022-01-01 00:45:50,2022-01-01 00:52:29,2022-01-01 01:01:48,223,7,1.89,559,9.71,0.0,7.89
2022-01-01 00:36:54,2022-01-01 00:45:34,2022-01-01 00:54:11,88,148,3.585,810,27.02,0.0,21.08
2022-01-01 00:07:13,2022-01-01 00:12:03,2022-01-01 00:35:07,246,243,9.2,1384,30.37,0.0,22.69
2022-01-01 00:53:32,2022-01-01 00:58:26,2022-01-01 01:07:23,243,127,1.88,537,15.02,2.0,10.02
2022-01-01 00:28:07,2022-01-01 00:34:59,2022-01-01 00:50:15,239,170,2.699,916,20.47,0.0,10.66
2022-01-01 00:45:44,2022-01-01 00:58:09,2022-01-01 01:28:23,170,265,8.037,1904,24.63,0.0,26.63
2022-01-01 00:21:54,2022-01-01 00:28:15,2022-01-01 00:38:52,223,179,1.69,637,9.81,0.0,9.55
2022-01-01 00:35:08,2022-01-01 00:45:55,2022-01-01 00:53:47,179,7,0.87,472,10.53,0.0,9.22
2022-01-01 00:48:14,2022-01-01 00:55:30,2022-01-01 01:03:26,7,82,2.59,476,14.87,0.0,8.49
2022-01-01 00:25:44,2022-01-01 00:30:45,2022-01-01 00:43:22,165,165,1.71,757,10.05,0.0,8.6
2022-01-01 00:37:55,2022-01-01 00:47:30,2022-01-01 01:06:49,165,72,3.51,1159,19.78,0.0,13.95
2022-01-01 00:14:34,2022-01-01 00:19:47,2022-01-01 00:40:46,238,129,8.353,1259,25.69,0.0,19.81
2022-01-01 00:41:46,2022-01-01 00:52:25,2022-01-01 01:10:00,138,112,6.454,1055,21.37,0.0,16.0
2022-01-01 00:23:53,2022-01-01 00:25:33,2022-01-01 00:31:35,234,113,0.91,362,6.84,0.0,6.73
2022-01-01 00:33:53,2022-01-01 00:41:46,2022-01-01 00:51:25,158,261,2.25,579,13.08,0.0,8.66
2022-01-01 00:48:34,2022-01-01 00:51:52,2022-01-01 01:11:20,261,181,4.47,1168,23.13,0.0,23.03
2022-01-01 00:01:32,2022-01-01 00:02:31,2022-01-01 00:26:30,249,198,7.03,1439,28.5,0.0,20.59
2022-01-01 00:24:45,2022-01-01 00:31:15,2022-01-01 00:43:27,198,63,3.0,732,13.57,0.0,10.23
